timestamp,scenario,attachment_kb,repeat,turn_index,session_id,tokens_in,tokens_out,cost_usd,latency_ms,latency_ok,cost_ok,memory_drift_ok,fact_to_remember,model,cache_hit
2026-09-24T04:03:00.320457,growing,0,1,1,543950fa-3325-4881-a269-34d5730765c6,546,606,0.000445,14930.34,False,True,True,NimbusPay,gpt-4o-mini-2024-07-18,False
2026-09-24T04:03:10.726282,growing,0,1,2,543950fa-3325-4881-a269-34d5730765c6,1195,672,0.000582,8377.66,False,True,True,NimbusPay,gpt-4o-mini-2024-07-18,False
2026-09-24T04:03:22.572069,growing,0,1,3,543950fa-3325-4881-a269-34d5730765c6,1891,727,0.00072,9820.74,False,True,True,NimbusPay,gpt-4o-mini-2024-07-18,False
2026-09-24T04:03:33.983045,growing,0,1,4,543950fa-3325-4881-a269-34d5730765c6,2639,788,0.000869,9379.62,False,True,True,NimbusPay,gpt-4o-mini-2024-07-18,False
2026-09-24T04:03:46.644684,growing,0,1,5,543950fa-3325-4881-a269-34d5730765c6,3447,864,0.001035,10611.01,False,True,True,NimbusPay,gpt-4o-mini-2024-07-18,False
2026-09-24T04:04:00.096552,growing,0,1,6,543950fa-3325-4881-a269-34d5730765c6,4335,925,0.001205,11405.31,False,True,True,NimbusPay,gpt-4o-mini-2024-07-18,False
2026-09-24T04:04:28.944780,pivot,0,1,1,6eb1daa3-b1c8-49a4-b546-c34953b87545,541,658,0.000476,8324.72,False,True,True,React Native,gpt-4o-mini-2024-07-18,False
2026-09-24T04:04:38.672066,pivot,0,1,2,6eb1daa3-b1c8-49a4-b546-c34953b87545,1238,652,0.000577,7687.28,False,True,False,React Native,gpt-4o-mini-2024-07-18,False
2026-09-24T04:04:49.120532,pivot,0,1,3,6eb1daa3-b1c8-49a4-b546-c34953b87545,1916,668,0.000688,8403.19,False,True,True,Flutter,gpt-4o-mini-2024-07-18,False
2026-09-24T04:04:58.883658,pivot,0,1,4,6eb1daa3-b1c8-49a4-b546-c34953b87545,2605,689,0.000804,7715.15,False,True,True,Flutter,gpt-4o-mini-2024-07-18,False
2026-09-24T04:05:09.070374,pivot,0,1,5,6eb1daa3-b1c8-49a4-b546-c34953b87545,3315,705,0.00092,8148.3,False,True,True,Flutter,gpt-4o-mini-2024-07-18,False
2026-09-24T04:05:32.953274,contradiction,0,1,1,d8d06134-e6f2-4c4c-9de1-94779097b63c,542,612,0.000449,7410.5,False,True,False,30000 EUR,gpt-4o-mini-2024-07-18,False
2026-09-24T04:05:42.662631,contradiction,0,1,2,d8d06134-e6f2-4c4c-9de1-94779097b63c,1177,691,0.000591,7667.28,False,True,False,30000 EUR,gpt-4o-mini-2024-07-18,False
2026-09-24T04:05:53.386973,contradiction,0,1,3,d8d06134-e6f2-4c4c-9de1-94779097b63c,1920,802,0.000769,8658.22,False,True,False,80000 EUR,gpt-4o-mini-2024-07-18,False
2026-09-24T04:06:04.338489,contradiction,0,1,4,d8d06134-e6f2-4c4c-9de1-94779097b63c,2741,822,0.000904,8905.32,False,True,False,80000 EUR,gpt-4o-mini-2024-07-18,False
2026-09-24T04:06:17.022179,contradiction,0,1,5,d8d06134-e6f2-4c4c-9de1-94779097b63c,3588,824,0.001033,10653.86,False,True,False,80000 EUR,gpt-4o-mini-2024-07-18,False
